scenario,mu,nu,H,avg_vault_balance,vault_balance_std,avg_deficit,deficit_std,time_underfunded_pct,time_overfunded_pct,max_deficit,max_surplus,avg_fee,fee_std,fee_cv,fee_95th_percentile,fee_99th_percentile,fee_volatility,l1_tracking_error,response_lag,overpayment_ratio,vault_utilization,insolvency_probability,insolvency_duration,fee_shock_frequency,var_95_deficit,deficit_correction_efficiency,l1_sensitivity,demand_elasticity_realized
July_2022_Spike,0.0,0.1,6,999.9986647227162,0.001899466825704117,0.0013352772837208703,0.0018994668257041169,0.0,0.0,0.007689540226010649,0.0022354080477953175,4.0869153374435325e-06,4.345225837913954e-06,1.0632042700037925,1.1251710344109535e-05,2.133811703380046e-05,3.922495204256273e-06,1.1568955904475464,17,0.9604940677514773,0.9999986647227161,0.0,0,0.0,0.005535319874888954,1.0,1.2085536612255351e-06,1.821242103677606e-06
May_2022_UST_Crash,0.0,0.1,6,999.9904112296514,0.01578618517537471,0.009588770348577781,0.01578618517537471,0.0,0.0,0.06478271810783554,0.01684902028534907,2.250010963855861e-05,3.689723761785569e-05,1.6398692366647234,9.652930637419973e-05,0.00016842767632767064,3.1391559960263675e-05,1.130471401131275,22,0.9833818085573386,0.9999904112296514,0.0,0,0.0,0.036812142677297224,1.0,5.874400533500274e-06,0.00021256721426492572
May_2023_PEPE_Crisis,0.0,0.1,6,999.9934408162321,0.015952445657709025,0.006559183767761851,0.015952445657709025,0.0,0.0,0.049728060152119724,0.035325815978239916,2.3318909847276265e-05,3.628255043097655e-05,1.5559282431556074,8.239762059138773e-05,0.00016889425020897826,2.9544038728229113e-05,1.1315376048595678,22,0.9855300674808216,0.9999934408162321,0.0,0,0.0,0.03864943977361007,1.0,5.954534762765851e-06,1.3492028206163859e-05
Recent_Low_Fees,0.0,0.1,6,999.9999955289453,6.04460428682865e-06,4.4710547319937175e-06,6.04460428682865e-06,0.0,0.0,1.416559587141819e-05,6.5758833898144076e-06,2.810160339914733e-08,1.4531508630647772e-08,0.5171060321450801,5.443290438389423e-08,6.411060468636263e-08,1.4773579647227398e-08,1.0289954311711111,11,0.9814720742192202,0.9999999955289453,0.0,0,0.0,1.3144359979833096e-05,1.0,2.550499342134331e-11,1.306894960170053e-05
July_2022_Spike,0.0,0.1,12,999.9985235276125,0.0016737879944161793,0.0014764723874935725,0.0016737879944161793,0.0,0.0,0.007734088967708885,0.001072989185672668,4.148819291924447e-06,4.03626427484217e-06,0.9728705906036056,1.0754147366769226e-05,1.668170459589953e-05,3.6179250916180657e-06,1.165991152950065,18,0.956970276958273,0.9999985235276125,0.0,0,0.0,0.005546043337949413,1.0,1.329400353070598e-06,6.625094246941686e-05
May_2022_UST_Crash,0.0,0.1,12,999.9902857903108,0.01368386580403423,0.009714209689178688,0.01368386580403423,0.0,0.0,0.07172000455034322,0.007940725959315387,2.2492554708330204e-05,2.8847498518396892e-05,1.2825354386139654,6.929980772250484e-05,0.00015378178927826815,2.3401139664776677e-05,1.1722452188265808,21,0.9815892089744366,0.9999902857903108,0.0,0,0.0,0.03703286590188093,1.0,1.0567528049575798e-05,4.457836695744288e-07
May_2023_PEPE_Crisis,0.0,0.1,12,999.9913817696377,0.010001269397604103,0.008618230362288273,0.010001269397604103,0.0,0.0,0.049759726002093885,0.007691706661717035,2.28904871427034e-05,2.0381807073955278e-05,0.8904051253645866,4.899692605362829e-05,0.00011258404647523404,1.669544148689506e-05,1.2419290352558308,22,0.9797622073451208,0.9999913817696376,0.0,0,0.0,0.029864257950009545,1.0,2.0811668797476778e-05,2.2833673173839236e-05
Recent_Low_Fees,0.0,0.1,12,999.9999927793533,5.845863823752842e-06,7.220646616588056e-06,5.845863823752842e-06,0.0,0.0,1.709172681785276e-05,3.438891667428834e-06,2.7814748162449352e-08,1.3201587484383568e-08,0.4746254543554006,5.166595703265386e-08,5.676876515773675e-08,1.3469588820131576e-08,1.0643657153209194,11,0.9793197812666359,0.9999999927793533,0.0,0,0.0,1.4917056830654472e-05,1.0,2.5346369184071573e-10,4.006225185239499e-05
July_2022_Spike,0.0,0.1,18,999.9981672230439,0.0015304464404099747,0.0018327769561653894,0.0015304464404099747,0.0,0.0,0.007720416502138505,0.00022666383938485524,4.144490927179314e-06,3.578653519155438e-06,0.863472397945632,1.136376113453568e-05,1.485281339435571e-05,3.2765394358879776e-06,1.1979447459113735,17,0.956491102813354,0.9999981672230439,0.0,0,0.0,0.005525292864825814,1.0,1.9988166568716567e-06,1.5046910719241993e-05
May_2022_UST_Crash,0.0,0.1,18,999.9895680200077,0.012285981552214905,0.010431979992339961,0.012285981552214905,0.0,0.0,0.07260435374473673,0.0019320987346418406,2.2040764045650504e-05,2.5379274113433922e-05,1.151469797547342,5.772478436071953e-05,0.00011575283833091188,1.931670494865353e-05,1.1963153536143702,21,0.9777839674772116,0.9999895680200077,0.0,0,0.0,0.03284886558022313,1.0,1.3764667309838066e-05,0.00022060442114250366
May_2023_PEPE_Crisis,0.0,0.1,18,999.9892560164672,0.009464179022841327,0.010743983532824472,0.009464179022841327,0.0,0.0,0.049860797928090506,0.0007939585024132612,2.302012787718446e-05,1.972474271782188e-05,0.8568476605801708,5.932997073218853e-05,0.00010549357457394645,1.7953490059197757e-05,1.2627797392607667,22,0.9763760638471831,0.9999892560164672,0.0,0,0.0,0.031457824086953565,1.0,2.5809953247987052e-05,2.0011873128253617e-07
