block_number,timestamp,basefee_wei,basefee_gwei
16226000,2022-12-20 12:46:59,10496401433,10.496401433
16226001,2022-12-20 12:47:11,10301532417,10.301532417
16226002,2022-12-20 12:47:23,10875376962,10.875376962
16226003,2022-12-20 12:47:35,12226839575,12.226839575
16226004,2022-12-20 12:47:47,11282475065,11.282475065
16226005,2022-12-20 12:47:59,12210925733,12.210925733
16226006,2022-12-20 12:48:11,11744006899,11.744006899
16226007,2022-12-20 12:48:23,11131598044,11.131598044
16226008,2022-12-20 12:48:35,10806778385,10.806778385
16226009,2022-12-20 12:48:47,11205967990,11.20596799
16226010,2022-12-20 12:48:59,11580248721,11.580248721
16226011,2022-12-20 12:49:11,11722483511,11.722483511
16226012,2022-12-20 12:49:23,11315349937,11.315349937
16226013,2022-12-20 12:49:35,11695075730,11.69507573
16226014,2022-12-20 12:49:47,11710043770,11.71004377
16226015,2022-12-20 12:49:59,11618278012,11.618278012
16226016,2022-12-20 12:50:11,12005189615,12.005189615
16226017,2022-12-20 12:50:23,11858529517,11.858529517
16226018,2022-12-20 12:50:35,11784073467,11.784073467
16226019,2022-12-20 12:50:47,11811228489,11.811228489
16226020,2022-12-20 12:50:59,11993346313,11.993346313
16226021,2022-12-20 12:51:11,11519881583,11.519881583
16226022,2022-12-20 12:51:23,11301865617,11.301865617
16226023,2022-12-20 12:51:35,11741883599,11.741883599
16226024,2022-12-20 12:51:47,11483616467,11.483616467
16226025,2022-12-20 12:51:59,11430897960,11.43089796
16226026,2022-12-20 12:52:11,10780805742,10.780805742
16226027,2022-12-20 12:52:23,10716381265,10.716381265
16226028,2022-12-20 12:52:35,10724393367,10.724393367
16226029,2022-12-20 12:52:47,10334736744,10.334736744
16226030,2022-12-20 12:52:59,10229051487,10.229051487
16226031,2022-12-20 12:53:11,10426239895,10.426239895
16226032,2022-12-20 12:53:23,10450672398,10.450672398
16226033,2022-12-20 12:53:35,10060511611,10.060511611
16226034,2022-12-20 12:53:47,10663832276,10.663832276
16226035,2022-12-20 12:53:59,10099015202,10.099015202
16226036,2022-12-20 12:54:11,10195734312,10.195734312
16226037,2022-12-20 12:54:23,9980215776,9.980215776
16226038,2022-12-20 12:54:35,10719618109,10.719618109
16226039,2022-12-20 12:54:47,10755333553,10.755333553
16226040,2022-12-20 12:54:59,10683587950,10.68358795
16226041,2022-12-20 12:55:11,10410290642,10.410290642
16226042,2022-12-20 12:55:23,10610465262,10.610465262
16226043,2022-12-20 12:55:35,10474520003,10.474520003
16226044,2022-12-20 12:55:47,10628075855,10.628075855
16226045,2022-12-20 12:55:59,10563216074,10.563216074
16226046,2022-12-20 12:56:11,10540742568,10.540742568
16226047,2022-12-20 12:56:23,10674854807,10.674854807
16226048,2022-12-20 12:56:35,10798067539,10.798067539
16226049,2022-12-20 12:56:47,11425736889,11.425736889
16226050,2022-12-20 12:56:59,12852912448,12.852912448
16226051,2022-12-20 12:57:11,14310552358,14.310552358
16226052,2022-12-20 12:57:23,14527040128,14.527040128
16226053,2022-12-20 12:57:35,16341648664,16.341648664
16226054,2022-12-20 12:57:47,18381779439,18.381779439
16226055,2022-12-20 12:57:59,20205226990,20.20522699
16226056,2022-12-20 12:58:11,19615695715,19.615695715
16226057,2022-12-20 12:58:23,18273844982,18.273844982
16226058,2022-12-20 12:58:35,18016446607,18.016446607
16226059,2022-12-20 12:58:47,17817820088,17.817820088
16226060,2022-12-20 12:58:59,17130503469,17.130503469
16226061,2022-12-20 12:59:11,16823922275,16.823922275
16226062,2022-12-20 12:59:23,16329181053,16.329181053
16226063,2022-12-20 12:59:35,15868056139,15.868056139
16226064,2022-12-20 12:59:47,15727681761,15.727681761
16226065,2022-12-20 12:59:59,15545551799,15.545551799
16226066,2022-12-20 13:00:11,15422147323,15.422147323
16226067,2022-12-20 13:00:23,16167536459,16.167536459
16226068,2022-12-20 13:00:35,16669765754,16.669765754
16226069,2022-12-20 13:00:47,17137562166,17.137562166
16226070,2022-12-20 13:00:59,17376928066,17.376928066
16226071,2022-12-20 13:01:11,18371567934,18.371567934
16226072,2022-12-20 13:01:23,18546327473,18.546327473
16226073,2022-12-20 13:01:35,18137540606,18.137540606
16226074,2022-12-20 13:01:47,16216449790,16.21644979
16226075,2022-12-20 13:01:59,18240518808,18.240518808
16226076,2022-12-20 13:02:11,17957370779,17.957370779
16226077,2022-12-20 13:02:23,17636596619,17.636596619
16226078,2022-12-20 13:02:35,15818355806,15.818355806
16226079,2022-12-20 13:02:47,16884274393,16.884274393
16226080,2022-12-20 13:02:59,17010976520,17.01097652
16226081,2022-12-20 13:03:11,16508970270,16.50897027
16226082,2022-12-20 13:03:23,16369283333,16.369283333
16226083,2022-12-20 13:03:35,16276994542,16.276994542
16226084,2022-12-20 13:03:47,15798083857,15.798083857
16226085,2022-12-20 13:03:59,15369600065,15.369600065
16226086,2022-12-20 13:04:11,15163727347,15.163727347
16226087,2022-12-20 13:04:23,14564148387,14.564148387
16226088,2022-12-20 13:04:35,14295824343,14.295824343
16226089,2022-12-20 13:04:47,13752683208,13.752683208
16226090,2022-12-20 13:04:59,13561507274,13.561507274
16226091,2022-12-20 13:05:11,12162098729,12.162098729
16226092,2022-12-20 13:05:23,13673739561,13.673739561
16226093,2022-12-20 13:05:35,13360212222,13.360212222
16226094,2022-12-20 13:05:47,13286157234,13.286157234
16226095,2022-12-20 13:05:59,13500832526,13.500832526
16226096,2022-12-20 13:06:11,14062172728,14.062172728
16226097,2022-12-20 13:06:23,13620894014,13.620894014
16226098,2022-12-20 13:06:35,13115621730,13.11562173
16226099,2022-12-20 13:06:47,13877244463,13.877244463
16226100,2022-12-20 13:06:59,13399480773,13.399480773
16226101,2022-12-20 13:07:11,13196860413,13.196860413
16226102,2022-12-20 13:07:23,13248009024,13.248009024
16226103,2022-12-20 13:07:35,13281282833,13.281282833
16226104,2022-12-20 13:07:47,12968061486,12.968061486
16226105,2022-12-20 13:07:59,13018132144,13.018132144
16226106,2022-12-20 13:08:11,13630045756,13.630045756
16226107,2022-12-20 13:08:23,13999788915,13.999788915
16226108,2022-12-20 13:08:35,13779599769,13.779599769
16226109,2022-12-20 13:08:47,13411090899,13.411090899
16226110,2022-12-20 13:08:59,12999226351,12.999226351
16226111,2022-12-20 13:09:11,13462786887,13.462786887
16226112,2022-12-20 13:09:23,13239118614,13.239118614
16226113,2022-12-20 13:09:35,12745176477,12.745176477
16226114,2022-12-20 13:09:47,12673512156,12.673512156
16226115,2022-12-20 13:09:59,12396925005,12.396925005
16226116,2022-12-20 13:10:11,11169164855,11.169164855
16226117,2022-12-20 13:10:23,12563283444,12.563283444
16226118,2022-12-20 13:10:35,13146167658,13.146167658
16226119,2022-12-20 13:10:47,12719157456,12.719157456
16226120,2022-12-20 13:10:59,12677720349,12.677720349
16226121,2022-12-20 13:11:11,12109750977,12.109750977
16226122,2022-12-20 13:11:23,11991948228,11.991948228
16226123,2022-12-20 13:11:35,11988869795,11.988869795
16226124,2022-12-20 13:11:47,11825999800,11.8259998
16226125,2022-12-20 13:11:59,11934801954,11.934801954
16226126,2022-12-20 13:12:11,11997733766,11.997733766
16226127,2022-12-20 13:12:23,11270909155,11.270909155
16226128,2022-12-20 13:12:35,12074268282,12.074268282
