block_number,timestamp,basefee_wei,basefee_gwei
14768310,2022-05-13 15:58:46,68380418659,68.380418659
14768311,2022-05-13 15:59:00,70483046442,70.483046442
14768312,2022-05-13 15:59:18,75079034043,75.079034043
14768313,2022-05-13 15:59:22,75781411545,75.781411545
14768314,2022-05-13 15:59:29,73103390470,73.10339047
14768315,2022-05-13 15:59:30,65964261430,65.96426143
14768316,2022-05-13 15:59:32,60776511151,60.776511151
14768317,2022-05-13 15:59:35,59043209116,59.043209116
14768318,2022-05-13 15:59:51,66418367218,66.418367218
14768319,2022-05-13 16:00:08,74713226543,74.713226543
14768320,2022-05-13 16:00:39,84039781343,84.039781343
14768321,2022-05-13 16:00:40,80121535090,80.12153509
14768322,2022-05-13 16:01:00,78877593509,78.877593509
14768323,2022-05-13 16:01:12,83389409605,83.389409605
14768324,2022-05-13 16:01:15,75713981506,75.713981506
14768325,2022-05-13 16:01:22,72393129738,72.393129738
14768326,2022-05-13 16:01:34,76854098365,76.854098365
14768327,2022-05-13 16:01:36,69334862654,69.334862654
14768328,2022-05-13 16:01:42,61474924182,61.474924182
14768329,2022-05-13 16:02:08,69157597090,69.15759709
14768330,2022-05-13 16:02:12,69543917190,69.54391719
14768331,2022-05-13 16:02:33,76492817635,76.492817635
14768332,2022-05-13 16:02:43,70072828359,70.072828359
14768333,2022-05-13 16:02:46,68676837158,68.676837158
14768334,2022-05-13 16:03:09,76756421630,76.75642163
14768335,2022-05-13 16:03:16,72837184610,72.83718461
14768336,2022-05-13 16:03:22,71698870522,71.698870522
14768337,2022-05-13 16:03:30,67101737312,67.101737312
14768338,2022-05-13 16:03:37,64731324267,64.731324267
14768339,2022-05-13 16:03:50,63645493689,63.645493689
14768340,2022-05-13 16:03:57,62160455181,62.160455181
14768341,2022-05-13 16:04:20,69901078290,69.90107829
14768342,2022-05-13 16:04:22,63230346077,63.230346077
14768343,2022-05-13 16:04:32,63027910963,63.027910963
14768344,2022-05-13 16:04:52,66925040514,66.925040514
14768345,2022-05-13 16:05:18,75286063900,75.2860639
14768346,2022-05-13 16:06:04,77224765369,77.224765369
14768347,2022-05-13 16:06:10,78512450353,78.512450353
14768348,2022-05-13 16:06:13,76853063959,76.853063959
14768349,2022-05-13 16:06:16,70721593305,70.721593305
14768350,2022-05-13 16:06:34,72730410695,72.730410695
14768351,2022-05-13 16:06:38,64773298546,64.773298546
14768352,2022-05-13 16:06:47,65004624182,65.004624182
14768353,2022-05-13 16:07:03,64316137925,64.316137925
14768354,2022-05-13 16:07:04,56276620685,56.276620685
14768355,2022-05-13 16:07:24,63308751215,63.308751215
14768356,2022-05-13 16:07:26,63008522652,63.008522652
14768357,2022-05-13 16:08:14,70880968668,70.880968668
14768358,2022-05-13 16:08:31,79736335410,79.73633541
14768359,2022-05-13 16:08:41,80055303343,80.055303343
14768360,2022-05-13 16:09:18,83960759954,83.960759954
