block_number,timestamp,basefee_wei,basefee_gwei
14758520,2022-05-12 02:23:28,86227173334,86.227173334
14758521,2022-05-12 02:24:07,97000835817,97.000835817
14758522,2022-05-12 02:24:19,101530576727,101.530576727
14758523,2022-05-12 02:24:53,107147313048,107.147313048
14758524,2022-05-12 02:24:55,100733069805,100.733069805
14758525,2022-05-12 02:24:56,89639712326,89.639712326
14758526,2022-05-12 02:25:11,96470196108,96.470196108
14758527,2022-05-12 02:26:03,108524280792,108.524280792
14758528,2022-05-12 02:26:25,113808339963,113.808339963
14758529,2022-05-12 02:26:28,112626278389,112.626278389
14758530,2022-05-12 02:26:30,100868064611,100.868064611
14758531,2022-05-12 02:26:49,110815447870,110.81544787
14758532,2022-05-12 02:26:53,98232769504,98.232769504
14758533,2022-05-12 02:27:41,110509085702,110.509085702
14758534,2022-05-12 02:27:43,111623897009,111.623897009
14758535,2022-05-12 02:27:48,103706316920,103.70631692
14758536,2022-05-12 02:28:09,107094590635,107.094590635
14758537,2022-05-12 02:28:11,96412601056,96.412601056
14758538,2022-05-12 02:28:12,84361025924,84.361025924
14758539,2022-05-12 02:28:38,94251214147,94.251214147
14758540,2022-05-12 02:29:22,106027871937,106.027871937
14758541,2022-05-12 02:29:42,102328851017,102.328851017
14758542,2022-05-12 02:29:45,105139955666,105.139955666
14758543,2022-05-12 02:30:15,107685920826,107.685920826
14758544,2022-05-12 02:30:19,108788842159,108.788842159
14758545,2022-05-12 02:30:27,106253338691,106.253338691
14758546,2022-05-12 02:30:50,102315840540,102.31584054
14758547,2022-05-12 02:31:21,115087631903,115.087631903
14758548,2022-05-12 02:31:53,127091104074,127.091104074
14758549,2022-05-12 02:32:03,140531898090,140.53189809
14758550,2022-05-12 02:32:04,122965410829,122.965410829
14758551,2022-05-12 02:32:05,107594734476,107.594734476
14758552,2022-05-12 02:32:18,117457987959,117.457987959
14758553,2022-05-12 02:32:33,124613488093,124.613488093
14758554,2022-05-12 02:32:42,125424535455,125.424535455
14758555,2022-05-12 02:32:49,115928512180,115.92851218
14758556,2022-05-12 02:32:53,104529497817,104.529497817
14758557,2022-05-12 02:33:05,100943665797,100.943665797
14758558,2022-05-12 02:33:17,105875441571,105.875441571
14758559,2022-05-12 02:33:22,97263381399,97.263381399
14758560,2022-05-12 02:33:35,97663035012,97.663035012
14758561,2022-05-12 02:33:41,92095016346,92.095016346
14758562,2022-05-12 02:33:48,91312886476,91.312886476
14758563,2022-05-12 02:34:58,102723888078,102.723888078
14758564,2022-05-12 02:35:21,115561485579,115.561485579
14758565,2022-05-12 02:35:30,120216587602,120.216587602
14758566,2022-05-12 02:35:31,106838899610,106.83889961
14758567,2022-05-12 02:35:36,102220672549,102.220672549
14758568,2022-05-12 02:36:13,108395565344,108.395565344
14758569,2022-05-12 02:36:50,121936834342,121.936834342
14758570,2022-05-12 02:37:14,137171144291,137.171144291
14758571,2022-05-12 02:37:19,127614154040,127.61415404
14758572,2022-05-12 02:37:44,129099283694,129.099283694
14758573,2022-05-12 02:37:46,115942945776,115.942945776
14758574,2022-05-12 02:38:02,117540846863,117.540846863
14758575,2022-05-12 02:38:08,107168778586,107.168778586
14758576,2022-05-12 02:38:24,108987661385,108.987661385
14758577,2022-05-12 02:38:53,119376004700,119.3760047
14758578,2022-05-12 02:38:55,110334597033,110.334597033
14758579,2022-05-12 02:39:01,98963456715,98.963456715
14758580,2022-05-12 02:39:10,101583282605,101.583282605
14758581,2022-05-12 02:39:44,114278185270,114.27818527
14758582,2022-05-12 02:40:01,112257688370,112.25768837
14758583,2022-05-12 02:40:30,117939029859,117.939029859
14758584,2022-05-12 02:40:33,104831134131,104.831134131
14758585,2022-05-12 02:41:50,117932807001,117.932807001
14758586,2022-05-12 02:42:39,132665429301,132.665429301
14758587,2022-05-12 02:42:58,149241581747,149.241581747
14758588,2022-05-12 02:43:01,133383466092,133.383466092
14758589,2022-05-12 02:43:02,146691331959,146.691331959
14758590,2022-05-12 02:43:24,147366548492,147.366548492
14758591,2022-05-12 02:43:30,136203354586,136.203354586
14758592,2022-05-12 02:43:31,121671642504,121.671642504
14758593,2022-05-12 02:44:08,136862697211,136.862697211
14758594,2022-05-12 02:44:16,130562382060,130.56238206
14758595,2022-05-12 02:44:18,122445341361,122.445341361
14758596,2022-05-12 02:44:25,120361315677,120.361315677
14758597,2022-05-12 02:44:31,106326291584,106.326291584
14758598,2022-05-12 02:44:56,119331940157,119.331940157
14758599,2022-05-12 02:45:00,111369300659,111.369300659
14758600,2022-05-12 02:45:03,102736438785,102.736438785
14758601,2022-05-12 02:45:23,112352259533,112.352259533
14758602,2022-05-12 02:45:44,122393448740,122.39344874
14758603,2022-05-12 02:46:16,133844283000,133.844283
14758604,2022-05-12 02:46:51,150572037274,150.572037274
14758605,2022-05-12 02:47:22,141364129509,141.364129509
14758606,2022-05-12 02:47:26,140388780630,140.38878063
14758607,2022-05-12 02:47:29,126038736685,126.038736685
14758608,2022-05-12 02:47:38,122789566237,122.789566237
14758609,2022-05-12 02:48:29,138123152330,138.12315233
14758610,2022-05-12 02:48:32,135253874821,135.253874821
14758611,2022-05-12 02:49:01,140223954281,140.223954281
14758612,2022-05-12 02:49:40,157731841388,157.731841388
14758613,2022-05-12 02:50:04,164557105845,164.557105845
14758614,2022-05-12 02:50:14,156013834895,156.013834895
14758615,2022-05-12 02:50:16,136512105534,136.512105534
14758616,2022-05-12 02:50:32,136503973933,136.503973933
14758617,2022-05-12 02:50:36,128827406777,128.827406777
14758618,2022-05-12 02:51:19,144926409549,144.926409549
14758619,2022-05-12 02:52:28,163024885987,163.024885987
14758620,2022-05-12 02:53:00,174657301197,174.657301197
14758621,2022-05-12 02:53:06,156325315462,156.325315462
14758622,2022-05-12 02:53:07,145353059903,145.353059903
14758623,2022-05-12 02:53:08,134628503317,134.628503317
14758624,2022-05-12 02:53:18,131496175395,131.496175395
14758625,2022-05-12 02:53:23,119143533730,119.14353373
14758626,2022-05-12 02:53:30,122410346666,122.410346666
14758627,2022-05-12 02:53:43,115759007066,115.759007066
14758628,2022-05-12 02:54:04,121938215145,121.938215145
14758629,2022-05-12 02:54:33,137164733556,137.164733556
14758630,2022-05-12 02:54:53,127683509395,127.683509395
14758631,2022-05-12 02:55:06,131753510635,131.753510635
14758632,2022-05-12 02:55:19,126107518068,126.107518068
14758633,2022-05-12 02:55:33,122425386618,122.425386618
14758634,2022-05-12 02:55:38,112230522451,112.230522451
14758635,2022-05-12 02:55:40,109126014833,109.126014833
14758636,2022-05-12 02:55:48,105652386343,105.652386343
14758637,2022-05-12 02:55:50,94352916450,94.35291645
14758638,2022-05-12 02:55:59,99892461478,99.892461478
14758639,2022-05-12 02:56:08,96900899462,96.900899462
14758640,2022-05-12 02:56:27,105669932587,105.669932587
14758641,2022-05-12 02:57:16,116093963293,116.093963293
14758642,2022-05-12 02:57:42,127365399702,127.365399702
14758643,2022-05-12 02:57:43,111444724740,111.44472474
14758644,2022-05-12 02:58:05,125360953822,125.360953822
14758645,2022-05-12 02:58:16,122016385210,122.01638521
14758646,2022-05-12 02:58:45,130886926591,130.886926591
14758647,2022-05-12 02:58:48,119226136144,119.226136144
14758648,2022-05-12 02:59:12,121521163879,121.521163879
14758649,2022-05-12 02:59:18,115452864497,115.452864497
14758650,2022-05-12 02:59:59,129877715953,129.877715953
14758651,2022-05-12 03:00:15,135134879883,135.134879883
14758652,2022-05-12 03:00:33,143555629107,143.555629107
14758653,2022-05-12 03:00:43,139227543680,139.22754368
14758654,2022-05-12 03:00:51,126106632093,126.106632093
14758655,2022-05-12 03:00:55,127217779697,127.217779697
14758656,2022-05-12 03:01:15,143115469151,143.115469151
14758657,2022-05-12 03:01:18,132225749894,132.225749894
14758658,2022-05-12 03:01:34,143256219190,143.25621919
14758659,2022-05-12 03:01:36,126766596505,126.766596505
14758660,2022-05-12 03:01:39,116295542529,116.295542529
14758661,2022-05-12 03:02:22,130822170899,130.822170899
14758662,2022-05-12 03:02:25,114469399537,114.469399537
14758663,2022-05-12 03:02:29,124513044694,124.513044694
14758664,2022-05-12 03:02:37,110264862665,110.264862665
14758665,2022-05-12 03:02:49,112916734449,112.916734449
14758666,2022-05-12 03:02:56,105108222332,105.108222332
14758667,2022-05-12 03:02:59,91969694541,91.969694541
14758668,2022-05-12 03:03:32,103455100685,103.455100685
14758669,2022-05-12 03:04:06,116372114875,116.372114875
14758670,2022-05-12 03:04:40,130904478385,130.904478385
14758671,2022-05-12 03:04:47,124146150702,124.146150702
14758672,2022-05-12 03:05:06,127909021564,127.909021564
14758673,2022-05-12 03:05:26,132823895872,132.823895872
14758674,2022-05-12 03:05:27,118052625717,118.052625717
14758675,2022-05-12 03:06:00,129053615854,129.053615854
14758676,2022-05-12 03:06:07,127319971955,127.319971955
14758677,2022-05-12 03:06:19,124246846609,124.246846609
14758678,2022-05-12 03:06:21,110503780681,110.503780681
14758679,2022-05-12 03:06:29,112883633920,112.88363392
14758680,2022-05-12 03:07:03,123429442183,123.429442183
14758681,2022-05-12 03:07:12,137154750896,137.154750896
14758682,2022-05-12 03:07:28,136384919567,136.384919567
14758683,2022-05-12 03:07:33,121614494152,121.614494152
14758684,2022-05-12 03:07:37,111450023646,111.450023646
14758685,2022-05-12 03:07:42,110890957051,110.890957051
14758686,2022-05-12 03:09:00,124749022128,124.749022128
14758687,2022-05-12 03:09:02,140332651657,140.332651657
14758688,2022-05-12 03:09:08,148032848592,148.032848592
14758689,2022-05-12 03:09:14,131075156901,131.075156901
14758690,2022-05-12 03:09:31,134874995115,134.874995115
14758691,2022-05-12 03:10:17,148362100117,148.362100117
14758692,2022-05-12 03:10:21,160975008859,160.975008859
14758693,2022-05-12 03:10:57,177644385536,177.644385536
14758694,2022-05-12 03:10:59,161366612875,161.366612875
14758695,2022-05-12 03:11:14,162500560268,162.500560268
14758696,2022-05-12 03:11:15,144536241144,144.536241144
14758697,2022-05-12 03:12:02,162590601807,162.590601807
14758698,2022-05-12 03:12:27,163534195009,163.534195009
14758699,2022-05-12 03:12:48,183955192518,183.955192518
14758700,2022-05-12 03:13:03,183582799446,183.582799446
14758701,2022-05-12 03:13:19,186566729045,186.566729045
14758702,2022-05-12 03:13:24,165090080914,165.090080914
14758703,2022-05-12 03:13:26,148080974749,148.080974749
14758704,2022-05-12 03:13:34,151267116000,151.267116
14758705,2022-05-12 03:13:55,148177620434,148.177620434
14758706,2022-05-12 03:14:18,155691822944,155.691822944
14758707,2022-05-12 03:14:19,149089233345,149.089233345
14758708,2022-05-12 03:14:25,132280677926,132.280677926
14758709,2022-05-12 03:14:28,131374483532,131.374483532
14758710,2022-05-12 03:14:43,130281621435,130.281621435
14758711,2022-05-12 03:14:59,138630938479,138.630938479
14758712,2022-05-12 03:15:40,155942928514,155.942928514
14758713,2022-05-12 03:15:41,152890514627,152.890514627
14758714,2022-05-12 03:15:46,140613522245,140.613522245
14758715,2022-05-12 03:15:51,128721526723,128.721526723
14758716,2022-05-12 03:15:59,122265127814,122.265127814
14758717,2022-05-12 03:16:23,132402515715,132.402515715
14758718,2022-05-12 03:16:46,124816181080,124.81618108
14758719,2022-05-12 03:16:52,135579353574,135.579353574
14758720,2022-05-12 03:16:53,122661322273,122.661322273
14758721,2022-05-12 03:17:02,117351168793,117.351168793
14758722,2022-05-12 03:17:04,106677113800,106.6771138
14758723,2022-05-12 03:17:29,117449234516,117.449234516
14758724,2022-05-12 03:17:55,125270564341,125.270564341
14758725,2022-05-12 03:18:10,135660017737,135.660017737
